,UUID,Billets
82,405986,[NBW / 8006 / JOINT CHIEFS OF STAFFJ5  (JT-BIL) WASHINGTON DC]
83,421363,[NA6 / 7506 / HQ USEUCOM (JT-BIL) STUTGART GERMANY].2
84,444667,[1WW / 8006 / WOUNDED WARRIOR REGIMENT QUANTICO]
85,450262,[QAQ / 8006 / PP&amp;O].2
86,465781,[145 / 7506 / 1STMAW OKINAWA JAPAN].2
87,470627,[011 / 8006 / H&amp;S BN HQMC HENDERSON HALL ARLINGTON VA]
88,471470,[1JG / 7505 / MAG-26 2DMAW JACKSONVILLE NC]
89,475902,[1JH / 7505 / HQ MAG 29 2DMAW JACKSONVILLE NC].1
90,484313,[NA6 / 7506 / HQ USEUCOM (JT-BIL) STUTGART GERMANY]
91,484491,[129 / 8006 / MCI CAMP MUJUK (ROK) KOREA]
92,485009,[NAG / 7506 / USPACOM (JT-BIL) CAMP SMITH HI]
93,494595,[S7A / 7505 / HQTRS MAG-49 4TH MAW MCGUIRE AFB NJ]
94,496134,[1F5 / 8006 / CE MEF INFO GROUP I MEF]
95,496795,[T9B / 6002 / NAV AIR SYS CMD  PATUXENT RIVER MD].1
96,496956,[APH / 8006 / JTF ODRP CHIEF OPERATIONS DIVISION - PAKISTAN]
97,533701,[JBG / 8006 / SNCO ACADEMY CAMP BUTLER OKINAWA]
98,536162,[080 / 8006 / PMD QUANTICO - MARSH CENTER]
99,543501,[1EM / 8006 / MARINE FORCES AFTRICA COMMAND GERMANY]
100,547525,[143 / 7506 / 3DMAW MIRAMAR CA].2
101,549199,[QAP / 8006 / P&amp;R WASHINGTON DC].1
102,556194,[QAB / 8006 / HQMC WASHINGTON DC]
103,556407,[T52 / 8006 / OFC OF THE CNO WASHINGTON DC]
104,558771,[1JD / 7503 / HQ MAG-14 2DMAW CHERRY POINT NC].1
105,565808,[1F2 / 8006 / CE MEF INFO GROUP II MEF]
106,567717,[145 / 7506 / 1STMAW OKINAWA JAPAN].1
107,569447,[TKP / 8006 / US ARMY COMMAND AND STAFF COLLEGE]
108,573577,[QAE / 8006 / M&amp;RA DIV HQMC]
109,582657,[143 / 7596 / 3DMAW MIRAMAR CA]
110,586851,[068 / 8006 / EDUCATION COMMAND]
111,590067,[1FJ / 8006 / MARFORNORTHCOM NEW ORLEANS]
112,592829,[1C0 / 8006 / I MEF].2
113,618031,[124 / 8006 / 3D MARDIV]
114,619839,[1C0 / 8006 / I MEF]
115,635270,[NBR / 8006 / JOINT STAFF J7 (JT-BIL) SUFFOLK VA]
116,637213,[TLG / 8006 / CMDR EXPEDITIONARY STRIKE GROUP 3 SAN DIEGO]
117,643021,[142 / 7506 / 2DMAW CHERRY POINT NC].1
118,648967,[007 / 8006 / HQ MCCDC]
119,651332,[T9B / 6002 / NAV AIR SYS CMD  PATUXENT RIVER MD].2
120,664175,[TF4 / 7506 / INSPECTOR GENERAL OF THE USMC ARLINGTON VA]
121,667431,[T52 / 7506 / OFC OF THE CNO OP 00 WASHINGTON DC]
122,670238,[032 / 7505 / MCAF QUANTICO VA]
123,682837,[142 / 7506 / 2DMAW CHERRY POINT NC].3
124,682973,[007 / 8006 / HQ MCCDC].3
125,684790,[1F1 / 7506 / HQ II MEF CAMP LEJEUNE NC]
126,686498,[T49 / 8006 / DIR NAV COUNC OF PERS BDS WASHINGTON DC].1
127,686942,[1JH / 7505 / HQ MAG 29 2DMAW JACKSONVILLE NC]
128,702466,[QAP / 8006 / P&amp;R WASHINGTON DC].3
129,703509,[068 / 8006 / EDUCATION COMMAND].4
130,706309,[454 / 7566 / FA COMNAVSURFPAC CORONADO CA]
131,714204,[NJN / 7506 / NATIONAL DEFENSE UNIVERSTIY (JT-BIL) NORFOLK VA]
132,715157,"[NBB / 7506 / EUCOM, JUSMAG (JT-BIL) SPAIN]"
133,720575,[TRG / 8006 / MARINE CORPS CYBERSPACE OPEARTION GROUP]
134,721009,[1K4 / 8006 / EOTG I MEF]
135,724365,[057 / 7505 / MCAS CAMP PENDLETON CA]
136,729460,[068 / 8006 / EDUCATION COMMAND].5
137,739981,[142 / 7596 / 2DMAW CHERRY POINT NC]
138,744835,"[1JF / 7505 / HQ MAG 24 1STMAW KANEOHE BAY,HI]"
139,748700,[086 / 8006 / TRAINING AND EDUCATION COMMAND]
140,760489,[442 / 8006 / US PACIFIC FLEET / USNAVCENT PEARL HARBOR]
141,765673,[1K3 / 8006 / EOTG III MEF]
142,766568,[TM6 / 8006 / MCATSU]
143,769460,[1ES / 7506 / HQ 13TH MEU CAMP PENDLETON CA]
144,770641,[J02 / 8006 / AIR UNIVERISTY MONTGOMERY AL]
145,781816,[1JD / 7503 / HQ MAG-14 2DMAW CHERRY POINT NC]
146,788739,[110 / 8006 / MARFORPAC CAMP SMITH HI]
147,796370,[T52 / 6602 / OFC OF THE CNO OP 00 WASHINGTON DC]
148,802006,[T52 / 8006 / OFC OF THE CNO WASHINGTON DC].1
149,808638,[TF4 / 8006 / INSPECTOR GENERAL OF THE USMC ARLINGTON VA]
150,808929,[QAB / 8006 / HQMC WASHINGTON DC].3
151,810088,"[TDU / 8006 / USA SPACE &amp; MISSILE DEF CMD, ARFORSTRAT, PETERSON AFB]"
152,817854,[QBN / 8006 / FAMILY READINESS DEPT HQMC]
153,830781,[452 / 7509 / COMNAVSURFLANT FLAG ALLOW NORFOLK VA]
154,838365,[104 / 8006 / MARCOR ADVS CO SUPPORT GREAT LAKES IL]
155,839866,[U61 / 7202 / FAA WASHINGTON DC]
156,841764,[TCR / 8006 / DET 2 TECHNICAL SERVICES ARLINGTON VA]
157,844097,[1PH / 7506 / MWSG-27 2D MAW CHERRY POINT  NC]
158,847770,[T52 / 7506 / OFC OF THE CNO OP 00 WASHINGTON DC].1
159,855243,[G91 / 6002  / MATSG-23 TRNG CMD NAS PENSACOLA FL]
160,856367,[NA6 / 7506 / HQ USEUCOM (JT-BIL) STUTGART GERMANY].1
161,857981,[QAJ / 8006 / C4 DEPT HQMC WASHINGTON DC]
162,867052,[1WL / 8006 / MARINE CORPS LIAISON OFFICE BETHESDA]
163,869810,[111 / 7503 / HQ MARFORCOM NORFOLK  VA]
164,881543,[1JL / 7505 / HQ MAG 36 1STMAW FUTENMA OKINAWA JAPAN]
165,884040,[TJD / 8006 / DTRA ON SITE INSPEC DIRECT EUROPE]
166,890559,[1DX / 7505 / CE 5TH MEB MARFOR CENTCOM BAHRAIN]
167,892776,[1JA / 7503 / HQ MAG-11 3D MAW SAN DIEGO  CA]
168,906996,[N28 / 7506 / HQ US FORCES KOREA (JT-BIL) YONGSAN ]
169,907027,[TMG / 8006 / MARFOR CENTCOM TAMPA]
170,920732,[QDC / 8006 / DEPUTY COMMANDANT FOR INFORMATION WASHINGTON DC]
171,926723,[QAP / 8006 / P&amp;R WASHINGTON DC]
172,929870,[080 / 8006 / PMD QUANTICO - MARSH CENTER].3
173,930139,[QAQ / 8006 / PP&amp;O]
174,940520,[QDC / 7315 / DEPUTY COMMANDANT FOR INFORMATION WASHINGTON DC]
175,953905,[T52 / 8006 / OFC OF THE CNO WASHINGTON DC].3
176,957106,[1C0 / 8006 / I MEF].1
177,957144,[097 / 8006 / MCI EAST CAMP LEJEUNE].2
178,959477,[442 / 8006 / US PACIFIC FLEET / USNAVCENT PEARL HARBOR].1
179,960962,"[NSJ / 7505 / STRIKFORNATO (JT BIL) LISBON, PORTUGAL]"
180,975166,[143 / 7506 / 3DMAW MIRAMAR CA]
181,983475,"[TMG / 6002 / HQ MARFOR CENTCOM, MACDILL AFB, TAMPA, FL]"
182,983858,[142 / 7506 / 2DMAW CHERRY POINT NC].2
183,984740,[145 / 6602 / 1STMAW OKINAWA JAPAN]
184,987340,[097 / 8006 / MCI EAST CAMP LEJEUNE].1
185,992454,[T52 / 7532 / OFC OF THE CNO OP 00 WASHINGTON DC]
186,995027,[1JB / 7503 / HQ MAG-12 1ST MAW IWAKUNI JAPAN]
